,baseline05,baseline05_bin,baseline01,bias01,bias01_pathways,baseline05,baseline05_bin,baseline01,bias01,bias01_pathways,baseline05,baseline05_bin,baseline01,bias01,bias01_pathways,baseline05,baseline05_bin,baseline01,bias01,bias01_pathways,baseline05,baseline05_bin,baseline01,bias01,bias01_pathways,baseline05,baseline05_bin,baseline01,bias01,bias01_pathways,baseline05,baseline05_bin,baseline01,bias01,bias01_pathways,baseline05,baseline05_bin,baseline01,bias01,bias01_pathways,baseline05,baseline05_bin,baseline01,bias01,bias01_pathways,incorrect,incorrect_and_stereotype
baseline01,0.4121526903451955,0.34361899565105586,0.9998850948316519,0.5119861541676678,0.45255314067653635,0.4121526903451955,0.34361899565105586,0.9998850948316519,0.5119861541676678,0.45255314067653635,0.4121526903451955,0.34361899565105586,0.9998850948316519,0.5119861541676678,0.45255314067653635,0.4121526903451955,0.34361899565105586,0.9998850948316519,0.5119861541676678,0.45255314067653635,0.4121526903451955,0.34361899565105586,0.9998850948316519,0.5119861541676678,0.45255314067653635,0.4121526903451955,0.34361899565105586,0.9998850948316519,0.5119861541676678,0.45255314067653635,0.4121526903451955,0.34361899565105586,0.9998850948316519,0.5119861541676678,0.45255314067653635,0.4121526903451955,0.34361899565105586,0.9998850948316519,0.5119861541676678,0.45255314067653635,0.4121526903451955,0.34361899565105586,0.9998850948316519,0.5119861541676678,0.45255314067653635,0.17657077060276583,0.1920502229949773
bias01,0.4535054390460872,0.3207215016761768,0.5119861541676678,0.9998340360403551,0.7612140392684144,0.4535054390460872,0.3207215016761768,0.5119861541676678,0.9998340360403551,0.7612140392684144,0.4535054390460872,0.3207215016761768,0.5119861541676678,0.9998340360403551,0.7612140392684144,0.4535054390460872,0.3207215016761768,0.5119861541676678,0.9998340360403551,0.7612140392684144,0.4535054390460872,0.3207215016761768,0.5119861541676678,0.9998340360403551,0.7612140392684144,0.4535054390460872,0.3207215016761768,0.5119861541676678,0.9998340360403551,0.7612140392684144,0.4535054390460872,0.3207215016761768,0.5119861541676678,0.9998340360403551,0.7612140392684144,0.4535054390460872,0.3207215016761768,0.5119861541676678,0.9998340360403551,0.7612140392684144,0.4535054390460872,0.3207215016761768,0.5119861541676678,0.9998340360403551,0.7612140392684144,0.19789607312493834,0.34118813116259283
bias01_pathways,0.37103868856196753,0.26422461714642675,0.45255314067653635,0.7612140392684144,0.999769915749355,0.37103868856196753,0.26422461714642675,0.45255314067653635,0.7612140392684144,0.999769915749355,0.37103868856196753,0.26422461714642675,0.45255314067653635,0.7612140392684144,0.999769915749355,0.37103868856196753,0.26422461714642675,0.45255314067653635,0.7612140392684144,0.999769915749355,0.37103868856196753,0.26422461714642675,0.45255314067653635,0.7612140392684144,0.999769915749355,0.37103868856196753,0.26422461714642675,0.45255314067653635,0.7612140392684144,0.999769915749355,0.37103868856196753,0.26422461714642675,0.45255314067653635,0.7612140392684144,0.999769915749355,0.37103868856196753,0.26422461714642675,0.45255314067653635,0.7612140392684144,0.999769915749355,0.37103868856196753,0.26422461714642675,0.45255314067653635,0.7612140392684144,0.999769915749355,0.232384647742122,0.4067021231675333
baseline05,1.0,0.9999999999999999,0.4121526903451955,0.4535054390460872,0.37103868856196753,1.0,0.9999999999999999,0.4121526903451955,0.4535054390460872,0.37103868856196753,1.0,0.9999999999999999,0.4121526903451955,0.4535054390460872,0.37103868856196753,1.0,0.9999999999999999,0.4121526903451955,0.4535054390460872,0.37103868856196753,1.0,0.9999999999999999,0.4121526903451955,0.4535054390460872,0.37103868856196753,1.0,0.9999999999999999,0.4121526903451955,0.4535054390460872,0.37103868856196753,1.0,0.9999999999999999,0.4121526903451955,0.4535054390460872,0.37103868856196753,1.0,0.9999999999999999,0.4121526903451955,0.4535054390460872,0.37103868856196753,1.0,0.9999999999999999,0.4121526903451955,0.4535054390460872,0.37103868856196753,0.2111364239998496,0.2392370970587822
baseline05_bin,1.0,0.9999359619435458,0.34361899565105586,0.3207215016761768,0.26422461714642675,1.0,0.9999359619435458,0.34361899565105586,0.3207215016761768,0.26422461714642675,1.0,0.9999359619435458,0.34361899565105586,0.3207215016761768,0.26422461714642675,1.0,0.9999359619435458,0.34361899565105586,0.3207215016761768,0.26422461714642675,1.0,0.9999359619435458,0.34361899565105586,0.3207215016761768,0.26422461714642675,1.0,0.9999359619435458,0.34361899565105586,0.3207215016761768,0.26422461714642675,1.0,0.9999359619435458,0.34361899565105586,0.3207215016761768,0.26422461714642675,1.0,0.9999359619435458,0.34361899565105586,0.3207215016761768,0.26422461714642675,1.0,0.9999359619435458,0.34361899565105586,0.3207215016761768,0.26422461714642675,0.1749021455280554,0.11515137010824326
baseline01,0.4121526903451955,0.34361899565105586,0.9998850948316519,0.5119861541676678,0.45255314067653635,0.4121526903451955,0.34361899565105586,0.9998850948316519,0.5119861541676678,0.45255314067653635,0.4121526903451955,0.34361899565105586,0.9998850948316519,0.5119861541676678,0.45255314067653635,0.4121526903451955,0.34361899565105586,0.9998850948316519,0.5119861541676678,0.45255314067653635,0.4121526903451955,0.34361899565105586,0.9998850948316519,0.5119861541676678,0.45255314067653635,0.4121526903451955,0.34361899565105586,0.9998850948316519,0.5119861541676678,0.45255314067653635,0.4121526903451955,0.34361899565105586,0.9998850948316519,0.5119861541676678,0.45255314067653635,0.4121526903451955,0.34361899565105586,0.9998850948316519,0.5119861541676678,0.45255314067653635,0.4121526903451955,0.34361899565105586,0.9998850948316519,0.5119861541676678,0.45255314067653635,0.17657077060276583,0.1920502229949773
bias01,0.4535054390460872,0.3207215016761768,0.5119861541676678,0.9998340360403551,0.7612140392684144,0.4535054390460872,0.3207215016761768,0.5119861541676678,0.9998340360403551,0.7612140392684144,0.4535054390460872,0.3207215016761768,0.5119861541676678,0.9998340360403551,0.7612140392684144,0.4535054390460872,0.3207215016761768,0.5119861541676678,0.9998340360403551,0.7612140392684144,0.4535054390460872,0.3207215016761768,0.5119861541676678,0.9998340360403551,0.7612140392684144,0.4535054390460872,0.3207215016761768,0.5119861541676678,0.9998340360403551,0.7612140392684144,0.4535054390460872,0.3207215016761768,0.5119861541676678,0.9998340360403551,0.7612140392684144,0.4535054390460872,0.3207215016761768,0.5119861541676678,0.9998340360403551,0.7612140392684144,0.4535054390460872,0.3207215016761768,0.5119861541676678,0.9998340360403551,0.7612140392684144,0.19789607312493834,0.34118813116259283
bias01_pathways,0.37103868856196753,0.26422461714642675,0.45255314067653635,0.7612140392684144,0.999769915749355,0.37103868856196753,0.26422461714642675,0.45255314067653635,0.7612140392684144,0.999769915749355,0.37103868856196753,0.26422461714642675,0.45255314067653635,0.7612140392684144,0.999769915749355,0.37103868856196753,0.26422461714642675,0.45255314067653635,0.7612140392684144,0.999769915749355,0.37103868856196753,0.26422461714642675,0.45255314067653635,0.7612140392684144,0.999769915749355,0.37103868856196753,0.26422461714642675,0.45255314067653635,0.7612140392684144,0.999769915749355,0.37103868856196753,0.26422461714642675,0.45255314067653635,0.7612140392684144,0.999769915749355,0.37103868856196753,0.26422461714642675,0.45255314067653635,0.7612140392684144,0.999769915749355,0.37103868856196753,0.26422461714642675,0.45255314067653635,0.7612140392684144,0.999769915749355,0.232384647742122,0.4067021231675333
baseline05,1.0,0.9999999999999999,0.4121526903451955,0.4535054390460872,0.37103868856196753,1.0,0.9999999999999999,0.4121526903451955,0.4535054390460872,0.37103868856196753,1.0,0.9999999999999999,0.4121526903451955,0.4535054390460872,0.37103868856196753,1.0,0.9999999999999999,0.4121526903451955,0.4535054390460872,0.37103868856196753,1.0,0.9999999999999999,0.4121526903451955,0.4535054390460872,0.37103868856196753,1.0,0.9999999999999999,0.4121526903451955,0.4535054390460872,0.37103868856196753,1.0,0.9999999999999999,0.4121526903451955,0.4535054390460872,0.37103868856196753,1.0,0.9999999999999999,0.4121526903451955,0.4535054390460872,0.37103868856196753,1.0,0.9999999999999999,0.4121526903451955,0.4535054390460872,0.37103868856196753,0.2111364239998496,0.2392370970587822
baseline05_bin,1.0,0.9999359619435458,0.34361899565105586,0.3207215016761768,0.26422461714642675,1.0,0.9999359619435458,0.34361899565105586,0.3207215016761768,0.26422461714642675,1.0,0.9999359619435458,0.34361899565105586,0.3207215016761768,0.26422461714642675,1.0,0.9999359619435458,0.34361899565105586,0.3207215016761768,0.26422461714642675,1.0,0.9999359619435458,0.34361899565105586,0.3207215016761768,0.26422461714642675,1.0,0.9999359619435458,0.34361899565105586,0.3207215016761768,0.26422461714642675,1.0,0.9999359619435458,0.34361899565105586,0.3207215016761768,0.26422461714642675,1.0,0.9999359619435458,0.34361899565105586,0.3207215016761768,0.26422461714642675,1.0,0.9999359619435458,0.34361899565105586,0.3207215016761768,0.26422461714642675,0.1749021455280554,0.11515137010824326
baseline01,0.4121526903451955,0.34361899565105586,0.9998850948316519,0.5119861541676678,0.45255314067653635,0.4121526903451955,0.34361899565105586,0.9998850948316519,0.5119861541676678,0.45255314067653635,0.4121526903451955,0.34361899565105586,0.9998850948316519,0.5119861541676678,0.45255314067653635,0.4121526903451955,0.34361899565105586,0.9998850948316519,0.5119861541676678,0.45255314067653635,0.4121526903451955,0.34361899565105586,0.9998850948316519,0.5119861541676678,0.45255314067653635,0.4121526903451955,0.34361899565105586,0.9998850948316519,0.5119861541676678,0.45255314067653635,0.4121526903451955,0.34361899565105586,0.9998850948316519,0.5119861541676678,0.45255314067653635,0.4121526903451955,0.34361899565105586,0.9998850948316519,0.5119861541676678,0.45255314067653635,0.4121526903451955,0.34361899565105586,0.9998850948316519,0.5119861541676678,0.45255314067653635,0.17657077060276583,0.1920502229949773
bias01,0.4535054390460872,0.3207215016761768,0.5119861541676678,0.9998340360403551,0.7612140392684144,0.4535054390460872,0.3207215016761768,0.5119861541676678,0.9998340360403551,0.7612140392684144,0.4535054390460872,0.3207215016761768,0.5119861541676678,0.9998340360403551,0.7612140392684144,0.4535054390460872,0.3207215016761768,0.5119861541676678,0.9998340360403551,0.7612140392684144,0.4535054390460872,0.3207215016761768,0.5119861541676678,0.9998340360403551,0.7612140392684144,0.4535054390460872,0.3207215016761768,0.5119861541676678,0.9998340360403551,0.7612140392684144,0.4535054390460872,0.3207215016761768,0.5119861541676678,0.9998340360403551,0.7612140392684144,0.4535054390460872,0.3207215016761768,0.5119861541676678,0.9998340360403551,0.7612140392684144,0.4535054390460872,0.3207215016761768,0.5119861541676678,0.9998340360403551,0.7612140392684144,0.19789607312493834,0.34118813116259283
bias01_pathways,0.37103868856196753,0.26422461714642675,0.45255314067653635,0.7612140392684144,0.999769915749355,0.37103868856196753,0.26422461714642675,0.45255314067653635,0.7612140392684144,0.999769915749355,0.37103868856196753,0.26422461714642675,0.45255314067653635,0.7612140392684144,0.999769915749355,0.37103868856196753,0.26422461714642675,0.45255314067653635,0.7612140392684144,0.999769915749355,0.37103868856196753,0.26422461714642675,0.45255314067653635,0.7612140392684144,0.999769915749355,0.37103868856196753,0.26422461714642675,0.45255314067653635,0.7612140392684144,0.999769915749355,0.37103868856196753,0.26422461714642675,0.45255314067653635,0.7612140392684144,0.999769915749355,0.37103868856196753,0.26422461714642675,0.45255314067653635,0.7612140392684144,0.999769915749355,0.37103868856196753,0.26422461714642675,0.45255314067653635,0.7612140392684144,0.999769915749355,0.232384647742122,0.4067021231675333
baseline05,1.0,0.9999999999999999,0.4121526903451955,0.4535054390460872,0.37103868856196753,1.0,0.9999999999999999,0.4121526903451955,0.4535054390460872,0.37103868856196753,1.0,0.9999999999999999,0.4121526903451955,0.4535054390460872,0.37103868856196753,1.0,0.9999999999999999,0.4121526903451955,0.4535054390460872,0.37103868856196753,1.0,0.9999999999999999,0.4121526903451955,0.4535054390460872,0.37103868856196753,1.0,0.9999999999999999,0.4121526903451955,0.4535054390460872,0.37103868856196753,1.0,0.9999999999999999,0.4121526903451955,0.4535054390460872,0.37103868856196753,1.0,0.9999999999999999,0.4121526903451955,0.4535054390460872,0.37103868856196753,1.0,0.9999999999999999,0.4121526903451955,0.4535054390460872,0.37103868856196753,0.2111364239998496,0.2392370970587822
baseline05_bin,1.0,0.9999359619435458,0.34361899565105586,0.3207215016761768,0.26422461714642675,1.0,0.9999359619435458,0.34361899565105586,0.3207215016761768,0.26422461714642675,1.0,0.9999359619435458,0.34361899565105586,0.3207215016761768,0.26422461714642675,1.0,0.9999359619435458,0.34361899565105586,0.3207215016761768,0.26422461714642675,1.0,0.9999359619435458,0.34361899565105586,0.3207215016761768,0.26422461714642675,1.0,0.9999359619435458,0.34361899565105586,0.3207215016761768,0.26422461714642675,1.0,0.9999359619435458,0.34361899565105586,0.3207215016761768,0.26422461714642675,1.0,0.9999359619435458,0.34361899565105586,0.3207215016761768,0.26422461714642675,1.0,0.9999359619435458,0.34361899565105586,0.3207215016761768,0.26422461714642675,0.1749021455280554,0.11515137010824326
baseline01,0.4121526903451955,0.34361899565105586,0.9998850948316519,0.5119861541676678,0.45255314067653635,0.4121526903451955,0.34361899565105586,0.9998850948316519,0.5119861541676678,0.45255314067653635,0.4121526903451955,0.34361899565105586,0.9998850948316519,0.5119861541676678,0.45255314067653635,0.4121526903451955,0.34361899565105586,0.9998850948316519,0.5119861541676678,0.45255314067653635,0.4121526903451955,0.34361899565105586,0.9998850948316519,0.5119861541676678,0.45255314067653635,0.4121526903451955,0.34361899565105586,0.9998850948316519,0.5119861541676678,0.45255314067653635,0.4121526903451955,0.34361899565105586,0.9998850948316519,0.5119861541676678,0.45255314067653635,0.4121526903451955,0.34361899565105586,0.9998850948316519,0.5119861541676678,0.45255314067653635,0.4121526903451955,0.34361899565105586,0.9998850948316519,0.5119861541676678,0.45255314067653635,0.17657077060276583,0.1920502229949773
bias01,0.4535054390460872,0.3207215016761768,0.5119861541676678,0.9998340360403551,0.7612140392684144,0.4535054390460872,0.3207215016761768,0.5119861541676678,0.9998340360403551,0.7612140392684144,0.4535054390460872,0.3207215016761768,0.5119861541676678,0.9998340360403551,0.7612140392684144,0.4535054390460872,0.3207215016761768,0.5119861541676678,0.9998340360403551,0.7612140392684144,0.4535054390460872,0.3207215016761768,0.5119861541676678,0.9998340360403551,0.7612140392684144,0.4535054390460872,0.3207215016761768,0.5119861541676678,0.9998340360403551,0.7612140392684144,0.4535054390460872,0.3207215016761768,0.5119861541676678,0.9998340360403551,0.7612140392684144,0.4535054390460872,0.3207215016761768,0.5119861541676678,0.9998340360403551,0.7612140392684144,0.4535054390460872,0.3207215016761768,0.5119861541676678,0.9998340360403551,0.7612140392684144,0.19789607312493834,0.34118813116259283
bias01_pathways,0.37103868856196753,0.26422461714642675,0.45255314067653635,0.7612140392684144,0.999769915749355,0.37103868856196753,0.26422461714642675,0.45255314067653635,0.7612140392684144,0.999769915749355,0.37103868856196753,0.26422461714642675,0.45255314067653635,0.7612140392684144,0.999769915749355,0.37103868856196753,0.26422461714642675,0.45255314067653635,0.7612140392684144,0.999769915749355,0.37103868856196753,0.26422461714642675,0.45255314067653635,0.7612140392684144,0.999769915749355,0.37103868856196753,0.26422461714642675,0.45255314067653635,0.7612140392684144,0.999769915749355,0.37103868856196753,0.26422461714642675,0.45255314067653635,0.7612140392684144,0.999769915749355,0.37103868856196753,0.26422461714642675,0.45255314067653635,0.7612140392684144,0.999769915749355,0.37103868856196753,0.26422461714642675,0.45255314067653635,0.7612140392684144,0.999769915749355,0.232384647742122,0.4067021231675333
baseline05,1.0,0.9999999999999999,0.4121526903451955,0.4535054390460872,0.37103868856196753,1.0,0.9999999999999999,0.4121526903451955,0.4535054390460872,0.37103868856196753,1.0,0.9999999999999999,0.4121526903451955,0.4535054390460872,0.37103868856196753,1.0,0.9999999999999999,0.4121526903451955,0.4535054390460872,0.37103868856196753,1.0,0.9999999999999999,0.4121526903451955,0.4535054390460872,0.37103868856196753,1.0,0.9999999999999999,0.4121526903451955,0.4535054390460872,0.37103868856196753,1.0,0.9999999999999999,0.4121526903451955,0.4535054390460872,0.37103868856196753,1.0,0.9999999999999999,0.4121526903451955,0.4535054390460872,0.37103868856196753,1.0,0.9999999999999999,0.4121526903451955,0.4535054390460872,0.37103868856196753,0.2111364239998496,0.2392370970587822
baseline05_bin,1.0,0.9999359619435458,0.34361899565105586,0.3207215016761768,0.26422461714642675,1.0,0.9999359619435458,0.34361899565105586,0.3207215016761768,0.26422461714642675,1.0,0.9999359619435458,0.34361899565105586,0.3207215016761768,0.26422461714642675,1.0,0.9999359619435458,0.34361899565105586,0.3207215016761768,0.26422461714642675,1.0,0.9999359619435458,0.34361899565105586,0.3207215016761768,0.26422461714642675,1.0,0.9999359619435458,0.34361899565105586,0.3207215016761768,0.26422461714642675,1.0,0.9999359619435458,0.34361899565105586,0.3207215016761768,0.26422461714642675,1.0,0.9999359619435458,0.34361899565105586,0.3207215016761768,0.26422461714642675,1.0,0.9999359619435458,0.34361899565105586,0.3207215016761768,0.26422461714642675,0.1749021455280554,0.11515137010824326
